center,left,right,steering,throttle,brake,speed
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_57_909.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_57_909.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_57_909.jpg,0,0,0,0.4605733
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_57_978.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_57_978.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_57_978.jpg,0,0,0,0.4577939
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_048.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_048.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_048.jpg,0,0,0,0.4541142
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_120.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_120.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_120.jpg,0,0,0,0.4513737
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_192.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_192.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_192.jpg,0,0,0,0.4477455
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_269.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_269.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_269.jpg,0,0,0,0.4441466
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_341.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_341.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_341.jpg,0,0,0,0.4405766
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_411.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_411.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_411.jpg,0,0,0,0.4379177
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_480.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_480.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_480.jpg,0,0,0,0.4352749
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_553.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_553.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_553.jpg,0,0,0,0.4317762
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_620.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_620.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_620.jpg,0,0.1239084,0,0.4982761
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_692.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_692.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_692.jpg,0,0.3592251,0,0.6857728
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_772.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_772.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_772.jpg,0,0.6153009,0,1.160554
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_838.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_838.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_838.jpg,0,0.7693861,0,1.728685
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_913.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_913.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_913.jpg,0,1,0,2.597718
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_58_982.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_58_982.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_58_982.jpg,0,1,0,3.539723
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_050.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_050.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_050.jpg,0,1,0,4.245552
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_122.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_122.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_122.jpg,0,1,0,5.177086
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_191.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_191.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_191.jpg,0,1,0,5.871076
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_259.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_259.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_259.jpg,0,1,0,6.560825
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_332.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_332.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_332.jpg,0,1,0,7.474513
